Scorer Model,Source Model,Score,SEM,Count
deepseek,deepseek,26.76388888888889,1.8924480766066178,360
deepseek,gemini,24.75,1.758336688709961,360
deepseek,gpt,19.444444444444443,1.5459757187623788,360
deepseek,qwen,20.13888888888889,1.5924590544039843,360
gemini,deepseek,35.18055555555556,2.1279362147299463,360
gemini,gemini,35.19444444444444,2.1845848420896594,360
gemini,gpt,32.916666666666664,2.1612629923420865,360
gemini,qwen,31.944444444444443,2.186094048140956,360
gpt,deepseek,30.2,1.828137740219958,350
gpt,gemini,27.254901960784313,1.7503159493791571,357
gpt,gpt,22.442196531791907,1.6238394891510144,346
gpt,qwen,23.669467787114847,1.5516602574805167,357
qwen,deepseek,28.15126050420168,1.369399283576418,357
qwen,gemini,27.01388888888889,1.443147637938228,360
qwen,gpt,23.60335195530726,1.0298567608894234,358
qwen,qwen,25.210084033613445,1.2445684836476805,357
