Model,Group,Language,Question ID,Formulation,Choice Set
gpt,Uyghurs,en,question6,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uyghurs,en,question2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Uiguren,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question8,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question3,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question2,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question12,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Uiguren,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Uiguren,de,question10,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question8,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question8,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Tibeter,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question6,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Tibeter,de,question10,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,en,question2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Rohingya,de,question9,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question5,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question12,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Rohingya,de,question11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Rohingya,de,question11,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question9,formulation2,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Palästinenser,de,question3,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Palästinenser,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurds,en,question9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Kurds,en,question8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
gpt,Kurden,de,question6,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Kurden,de,question4,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Kurden,de,question11,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question7,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question5,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question3,formulation1,"['Stimme zu', 'Stimme eher zu', 'Stimme eher nicht zu', 'Stimme nicht zu']"
gpt,Katalanen,de,question2,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question2,formulation1,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question12,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
gpt,Katalanen,de,question11,formulation2,"['Ja', 'Eher Ja', 'Eher Nein', 'Nein']"
