Model,Group,Language,Question ID,Formulation,Choice Set
qwen,Uyghurs,en,question9,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question9,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question9,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question9,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question9,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question9,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question8,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question8,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question8,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question8,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question8,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question8,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question7,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question7,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question7,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question7,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question7,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question7,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question6,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question6,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question6,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question6,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question6,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question6,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question5,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question5,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question5,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question5,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question5,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question5,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question4,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question4,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question4,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question4,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question4,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question4,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question3,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question3,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question3,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question3,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question3,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question3,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question2,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question2,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question2,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question2,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question2,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question2,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question15,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question15,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question15,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question15,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question15,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question15,formulation1,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question14,formulation2,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question14,formulation2,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question14,formulation2,"['1', '2', '3', '4']"
qwen,Uyghurs,en,question14,formulation1,"['Yes', 'Rather Yes', 'Rather No', 'No']"
qwen,Uyghurs,en,question14,formulation1,"['Agree', 'Rather agree', 'Rather disagree', 'Disagree']"
qwen,Uyghurs,en,question14,formulation1,"['1', '2', '3', '4']"
