Source Model,Language,Group,Choice Set,Type,Scorer Model 1,Scorer Model 2,Krippendorff Alpha,Num_Texts,Num_Scorers
deepseek,de,Katalanen,"(5,4,3,2,1) (de)",Overall,All,,0.049440475610766144,60,4.0
deepseek,de,Katalanen,"(A,B,C,D) (de)",Overall,All,,0.055163797002748094,60,4.0
deepseek,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.16041646926108322,60,4.0
deepseek,de,Kurden,"(5,4,3,2,1) (de)",Overall,All,,0.0801573112232421,60,4.0
deepseek,de,Kurden,"(A,B,C,D) (de)",Overall,All,,0.0900420981496376,60,4.0
deepseek,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.2223504135727581,60,4.0
deepseek,de,Palästinenser,"(5,4,3,2,1) (de)",Overall,All,,0.07207680608752476,60,4.0
deepseek,de,Palästinenser,"(A,B,C,D) (de)",Overall,All,,0.08483743378537889,60,4.0
deepseek,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.2637530758525669,60,4.0
deepseek,de,Rohingya (de),"(5,4,3,2,1) (de)",Overall,All,,0.021491048076924035,60,4.0
deepseek,de,Rohingya (de),"(A,B,C,D) (de)",Overall,All,,0.2542257249249057,60,4.0
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Overall,All,,0.2059202367047024,60,4.0
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Overall,All,,0.01987368521736177,60,4.0
deepseek,de,Tibeter,"(A,B,C,D) (de)",Overall,All,,0.009967657961719167,60,4.0
